NUM_OF_BEDROOMS,NUM_OF_BATHROOMS,LIVING_AREA_sqft,LOT_AREA_sqft,FLOORS,WATER FRONT,VIEW_RATING,CONDITION_RATING,ABOVE_BASEMENT_sqft,BASEMENT_sqft,YEAR_BUILT,YEAR_RENOVATED,PRICE,CITY,ZIP,TOTAL_HOUSE_AREA_sqft
3.0,2.0,1340,7912,1.5,0.0,0.0,3.0,1340,0,1955,2005,313000.0,Shoreline,98133,1340
3.0,2.0,1930,11947,1.0,0.0,0.0,4.0,1930,0,1966,0,342000.0,Kent,98042,1930
3.0,2.0,2000,8030,1.0,0.0,0.0,4.0,1000,1000,1963,0,420000.0,Bellevue,98008,2000
4.0,2.0,1940,10500,1.0,0.0,0.0,4.0,1140,800,1976,1992,550000.0,Redmond,98052,1940
2.0,1.0,880,6380,1.0,0.0,0.0,3.0,880,0,1938,1994,490000.0,Seattle,98115,880
2.0,2.0,1350,2560,1.0,0.0,0.0,3.0,1350,0,1976,0,335000.0,Redmond,98052,1350
4.0,2.0,1520,6200,1.5,0.0,0.0,3.0,1520,0,1945,2010,640000.0,Seattle,98115,1520
3.0,2.0,1710,7320,1.0,0.0,0.0,3.0,1710,0,1948,1994,463000.0,LakeForestPark,98155,1710
3.0,2.0,2330,14892,1.0,0.0,0.0,3.0,1970,360,1980,0,588500.0,Sammamish,98074,2330
3.0,1.0,1090,6435,1.0,0.0,0.0,4.0,1090,0,1955,2009,365000.0,Seattle,98106,1090
3.0,2.0,1200,9720,1.0,0.0,0.0,4.0,1200,0,1965,0,242500.0,Kent,98042,1200
3.0,2.0,1570,6700,1.0,0.0,0.0,4.0,1570,0,1956,0,419000.0,Bellevue,98007,1570
4.0,3.0,3110,7231,2.0,0.0,0.0,3.0,3110,0,1997,0,367500.0,Auburn,98092,3110
3.0,2.0,1370,5858,1.0,0.0,0.0,3.0,1370,0,1987,2000,257950.0,DesMoines,98198,1370
3.0,2.0,1180,10277,1.0,0.0,0.0,3.0,1180,0,1983,2009,275000.0,NorthBend,98045,1180
3.0,2.0,2240,10578,2.0,0.0,0.0,5.0,1550,690,1923,0,750000.0,Seattle,98115,2240
4.0,1.0,1450,8800,1.0,0.0,0.0,4.0,1450,0,1954,1979,435000.0,Bellevue,98006,1450
3.0,2.0,1750,1572,2.5,0.0,0.0,3.0,1470,280,2005,0,626000.0,Seattle,98102,1750
4.0,2.0,2730,12261,2.0,0.0,0.0,3.0,2730,0,1991,0,612500.0,Bothell,98011,2730
4.0,2.0,1600,6380,1.0,0.0,0.0,3.0,1130,470,1959,1989,495000.0,Seattle,98125,1600
3.0,2.0,2090,10834,1.0,0.0,0.0,4.0,1360,730,1987,0,285000.0,FederalWay,98003,2090
3.0,2.0,2360,7291,1.0,0.0,0.0,4.0,1360,1000,1948,0,615000.0,Seattle,98136,2360
4.0,2.0,2200,11250,1.5,0.0,0.0,5.0,1300,900,1920,0,698000.0,Kirkland,98033,2200
3.0,2.0,2600,4750,1.0,0.0,0.0,4.0,1700,900,1951,1999,790000.0,Seattle,98117,2600
4.0,2.0,1560,8700,1.0,0.0,0.0,4.0,1560,0,1967,0,382500.0,Kirkland,98034,1560
4.0,2.0,1820,5000,1.5,0.0,1.0,3.0,1640,180,1945,2010,650000.0,Seattle,98115,1820
4.0,2.0,2820,8408,2.0,0.0,0.0,3.0,2820,0,2014,0,625000.0,Shoreline,98155,2820
2.0,1.0,800,4850,1.0,0.0,0.0,4.0,800,0,1944,0,440000.0,Seattle,98107,800
3.0,2.0,1960,13100,1.0,0.0,2.0,5.0,1650,310,1957,0,403000.0,NormandyPark,98166,1960
3.0,2.0,2390,6550,1.0,0.0,2.0,4.0,1440,950,1955,2009,750000.0,Seattle,98116,2390
3.0,2.0,1580,16215,1.0,0.0,0.0,4.0,1580,0,1978,2000,335000.0,FallCity,98024,1580
4.0,2.0,1480,8625,1.0,0.0,0.0,4.0,1480,0,1974,0,260000.0,Renton,98055,1480
2.0,1.0,850,6174,1.0,0.0,0.0,4.0,850,0,1950,1983,308500.0,Shoreline,98155,850
3.0,2.0,1770,2875,2.0,0.0,0.0,3.0,1770,0,1990,2009,439950.0,Seattle,98116,1770
2.0,1.0,1210,9400,1.0,0.0,0.0,2.0,1210,0,1949,0,235000.0,Seattle,98106,1210
3.0,1.0,1160,9180,1.0,0.0,0.0,3.0,1160,0,1968,1997,315000.0,Woodinville,98077,1160
3.0,2.0,1930,10460,2.0,0.0,0.0,3.0,1930,0,1996,0,407500.0,Renton,98059,1930
3.0,2.0,1270,1180,3.0,0.0,0.0,3.0,1270,0,2001,0,445700.0,Seattle,98107,1270
3.0,2.0,2710,4500,1.5,0.0,0.0,4.0,1880,830,1929,0,805000.0,Seattle,98115,2710
5.0,2.0,2210,9655,1.0,0.0,0.0,3.0,1460,750,1976,0,470000.0,Bothell,98011,2210
4.0,2.0,1920,10000,1.0,0.0,0.0,4.0,1070,850,1954,1979,430000.0,Bellevue,98006,1920
5.0,3.0,3660,11995,2.0,0.0,2.0,3.0,3660,0,2006,0,785000.0,Snoqualmie,98065,3660
3.0,3.0,1320,1327,2.0,0.0,0.0,3.0,1040,280,2008,0,385000.0,Seattle,98199,1320
2.0,2.0,1630,1368,2.0,0.0,0.0,3.0,1280,350,2009,0,295000.0,Seattle,98106,1630
3.0,2.0,2540,5050,2.0,0.0,0.0,3.0,2540,0,2006,0,300000.0,Kent,98042,2540
2.0,1.0,900,5000,1.0,0.0,0.0,3.0,900,0,1944,0,553000.0,Seattle,98117,900
3.0,2.0,1650,14054,1.0,0.0,0.0,4.0,1130,520,1986,0,379880.0,Issaquah,98027,1650
3.0,1.0,1010,9945,1.0,0.0,0.0,4.0,1010,0,1973,0,310000.0,Snoqualmie,98065,1010
3.0,2.0,2200,7350,1.0,0.0,0.0,5.0,1570,630,1988,0,365000.0,Renton,98058,2200
4.0,2.0,2530,9933,2.0,0.0,2.0,3.0,2010,520,1990,2009,331950.0,Auburn,98092,2530
3.0,2.0,2850,7130,2.0,0.0,0.0,3.0,1990,860,1980,0,783500.0,Seattle,98122,2850
3.0,2.0,1900,8744,2.0,0.0,0.0,3.0,1900,0,1987,2000,560000.0,Sammamish,98074,1900
2.0,3.0,1270,1175,2.0,0.0,0.0,3.0,1110,160,2000,0,531000.0,Seattle,98103,1270
4.0,3.0,2170,4000,2.0,0.0,0.0,4.0,1610,560,1982,2011,831000.0,Seattle,98112,2170
4.0,2.0,2730,10281,2.0,0.0,2.0,3.0,2730,0,1996,0,780000.0,Sammamish,98074,2730
4.0,2.0,2120,10202,1.0,0.0,0.0,4.0,1620,500,1960,2001,755000.0,Bellevue,98005,2120
3.0,2.0,2490,4343,2.0,0.0,0.0,3.0,2490,0,2003,0,705380.0,Issaquah,98029,2490
4.0,2.0,1990,7712,1.0,0.0,0.0,3.0,1210,780,1973,2013,627000.0,Issaquah,98027,1990
4.0,3.0,3690,9892,2.0,0.0,0.0,3.0,3690,0,1998,2006,865000.0,Sammamish,98075,3690
2.0,1.0,2540,7000,1.0,0.0,0.0,5.0,1320,1220,1942,0,580000.0,Seattle,98118,2540
4.0,3.0,2340,7048,1.0,0.0,0.0,4.0,1340,1000,1979,0,485000.0,Kirkland,98034,2340
2.0,2.0,2110,9519,1.0,0.0,0.0,2.0,2110,0,1948,0,400000.0,Shoreline,98155,2110
2.0,1.0,1140,5400,1.0,0.0,0.0,5.0,1140,0,1908,0,549000.0,Seattle,98112,1140
3.0,2.0,1480,2185,2.5,0.0,0.0,3.0,1480,0,2005,0,620000.0,Kirkland,98033,1480
2.0,3.0,1410,1240,2.0,0.0,0.0,3.0,1140,270,2006,0,405000.0,Seattle,98136,1410
2.0,1.0,1200,8063,1.0,0.0,0.0,4.0,1200,0,1958,1972,232000.0,DesMoines,98198,1200
5.0,2.0,3180,13806,2.0,0.0,0.0,4.0,3180,0,1990,0,800866.0,Kirkland,98033,3180
3.0,2.0,2160,9000,1.0,0.0,2.0,4.0,1400,760,1949,1985,650000.0,Seattle,98177,2160
6.0,2.0,2920,5000,2.5,0.0,0.0,4.0,2780,140,1908,0,823000.0,Seattle,98122,2920
3.0,2.0,2350,5700,1.5,0.0,0.0,4.0,1810,540,1939,1989,770000.0,Seattle,98112,2350
3.0,2.0,1560,5520,1.0,0.0,0.0,4.0,780,780,1944,0,524000.0,Seattle,98199,1560
5.0,3.0,2740,8426,1.0,0.0,0.0,4.0,1370,1370,1960,2001,541125.0,Bellevue,98006,2740
3.0,2.0,1680,2000,3.0,0.0,0.0,3.0,1680,0,1909,1998,670000.0,Seattle,98105,1680
